"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","6,507.0","6,567.3","6,567.4","6,489.6","5.99K","-0.88%"
"01/09/2025","6,565.0","6,577.0","6,588.0","6,550.0","2.55K","0.61%"
"01/08/2025","6,525.0","6,484.0","6,537.0","6,484.0","9.10K","0.45%"
"01/07/2025","6,495.5","6,501.0","6,523.6","6,455.0","18.83K","-0.62%"
"01/06/2025","6,536.0","6,513.0","6,541.0","6,504.0","20.10K","0.37%"
"01/03/2025","6,512.0","6,473.0","6,513.0","6,473.0","11.93K","0.06%"
"01/02/2025","6,508.0","6,422.8","6,521.2","6,408.0","12.93K","1.21%"
"12/31/2024","6,430.0","6,417.0","6,434.0","6,399.3","1.61K","0.30%"
"12/30/2024","6,411.0","6,447.4","6,452.0","6,361.6","4.66K","-0.53%"
"12/27/2024","6,445.0","6,552.0","6,553.0","6,429.0","7.08K","-0.29%"
"12/24/2024","6,464.0","6,484.6","6,504.0","6,461.6","2.11K","0.56%"
"12/23/2024","6,428.0","6,455.0","6,467.0","6,384.0","0.62K","0.19%"
"12/20/2024","6,416.0","6,333.0","6,415.0","6,275.0","10.67K","0.59%"
"12/19/2024","6,378.5","6,334.7","6,390.0","6,301.4","11.89K","-1.17%"
"12/18/2024","6,454.0","6,463.0","6,480.1","6,454.0","25.29K","-0.09%"
"12/17/2024","6,459.5","6,494.0","6,500.3","6,442.0","16.52K","-0.75%"
"12/16/2024","6,508.5","6,529.0","6,541.5","6,503.0","13.34K","0.15%"
"12/13/2024","6,498.5","6,511.1","6,528.0","6,501.7","0.97K","0.50%"
"12/12/2024","6,466.0","6,431.0","6,477.7","6,431.0","22.26K","0.03%"
"12/11/2024","6,464.0","6,414.0","6,454.0","6,405.0","16.03K","0.75%"
"12/10/2024","6,416.0","6,430.0","6,442.0","6,415.4","10.73K","-0.54%"
"12/09/2024","6,451.0","6,534.0","6,546.0","6,431.0","6.96K","-1.27%"
"12/06/2024","6,534.0","6,516.0","6,547.0","6,499.0","5.96K","-0.11%"
"12/05/2024","6,541.5","6,539.0","6,545.0","6,523.0","7.96K","0.33%"
"12/04/2024","6,520.0","6,519.0","6,543.1","6,518.0","42.83K","0.12%"
"12/03/2024","6,512.5","6,506.0","6,522.2","6,490.3","4.38K","0.13%"
"12/02/2024","6,504.0","6,478.8","6,510.0","6,463.0","17.00K","0.46%"
"11/29/2024","6,474.5","6,448.0","6,475.0","6,443.0","6.44K","0.24%"
"11/28/2024","6,459.0","6,468.0","6,468.0","6,453.8","6.22K","0.43%"
"11/27/2024","6,431.5","6,496.8","6,497.0","6,428.0","9.13K","-1.07%"
"11/26/2024","6,501.0","6,462.0","6,503.0","6,454.0","17.46K","0.39%"
"11/25/2024","6,476.0","6,496.0","6,505.0","6,475.0","11.51K","-0.18%"
"11/22/2024","6,488.0","6,460.0","6,505.0","6,446.0","15.86K","0.92%"
"11/21/2024","6,429.0","6,397.0","6,429.0","6,366.0","26.63K","1.33%"
"11/20/2024","6,344.5","6,363.0","6,381.9","6,331.0","37.40K","-0.09%"
"11/19/2024","6,350.0","6,332.0","6,348.0","6,302.0","3.21K","0.06%"
"11/18/2024","6,346.0","6,338.0","6,346.0","6,307.9","8.99K","0.21%"
"11/15/2024","6,333.0","6,349.0","6,354.0","6,329.0","11.08K","-0.77%"
"11/14/2024","6,382.0","6,399.1","6,425.5","6,378.0","6.40K","-0.28%"
"11/13/2024","6,400.0","6,380.4","6,405.0","6,379.4","4.63K","0.27%"
"11/12/2024","6,382.5","6,380.2","6,389.0","6,358.1","19.93K","0.16%"
"11/11/2024","6,372.0","6,386.0","6,392.0","6,364.0","12.29K","0.62%"
"11/08/2024","6,333.0","6,295.0","6,333.0","6,266.2","7.38K","1.31%"
"11/07/2024","6,251.0","6,244.1","6,273.0","6,242.0","33.21K","0.30%"
"11/06/2024","6,232.5","6,246.2","6,298.0","6,217.0","30.11K","2.26%"
"11/05/2024","6,095.0","6,082.0","6,095.0","6,063.0","9.45K","0.05%"
"11/04/2024","6,092.0","6,103.0","6,114.0","6,085.5","8.39K","-0.38%"
"11/01/2024","6,115.5","6,118.0","6,125.5","6,101.7","6.30K","-0.59%"
